1,1,1,24,SF,75,68,2083,872,320,725,123,151,2000000
2,1,1,10,SG,51,1,864,326,114,256,50,56,1304520
3,1,1,12,PG,11,0,76,5,2,11,0,0,2870000
3,1,5,12,PG,35,7,555,132,47,118,15,16,2730000
4,1,1,7,SG,26,1,263,63,24,73,5,10,947300
4,1,5,7,SG,27,4,510,176,64,155,22,27,947300
5,1,1,15,C,82,82,2631,1249,529,1048,103,129,12000000
6,1,1,43,PF,21,0,295,134,47,101,32,45,4000000
6,1,24,43,PF,4,3,74,29,10,36,6,8,4600000
6,1,30,43,PF,28,14,466,180,64,158,29,31,4300000
7,1,1,26,SG,80,80,2401,739,268,616,45,54,5746479
8,1,1,8,PG,24,0,179,93,40,95,9,12,2433333
8,1,29,8,PG,28,27,879,355,142,320,36,49,2433333
9,1,1,4,PF,81,81,2647,1385,501,1066,309,408,19000000
10,1,1,31,C,60,0,565,195,76,152,31,39,947276
11,1,1,13,SG,35,0,295,84,28,80,16,22,525093
12,1,1,17,PG,80,6,1621,879,329,781,144,182,1763400
13,1,1,32,PF,75,0,1146,464,176,376,50,63,3333333
14,1,1,25,SF,75,11,1758,480,188,372,62,99,4000000
15,1,1,11,C,36,2,579,201,81,155,39,48,8500000
16,1,1,22,C,11,0,73,25,11,19,3,8,1000000
17,1,1,0,PG,79,78,2255,1239,434,988,261,312,8000000
18,1,2,0,SG,76,72,2536,1155,456,1019,96,123,7720227
19,1,2,63,SF,3,0,6,6,2,4,0,0,61776
20,1,2,99,SF,73,73,2308,1038,360,813,196,239,6000000
21,1,2,28,SG,36,0,315,97,36,98,6,7,1148640
22,1,2,8,PF,78,0,1176,340,118,286,61,78,5000000
23,1,2,90,PF,79,76,1800,577,249,426,69,11,12000000
24,1,7,42,PF,25,1,433,213,91,143,31,42,2102224
24,1,2,42,PF,30,4,470,214,87,192,40,51,15493680
25,1,2,55,PF,16,0,57,21,8,22,5,10,1200000
26,1,2,41,C,69,8,1395,687,253,556,96,128,2165160
27,1,2,12,PG,39,0,311,72,29,106,8,10,1824360
28,1,2,36,PG,61,10,1667,558,184,529,129,166,3431040
29,1,2,7,PF,81,73,1915,834,351,806,103,161,2269260
30,1,2,4,PG,82,79,2644,1823,591,1382,474,544,6912869
31,1,2,11,SG,81,12,2271,854,343,753,148,179,3425510
32,1,2,13,SG,29,0,199,29,11,36,1,4,1749840
33,1,2,44,C,60,3,710,364,138,290,88,108,2616975
34,1,3,9,C,46,0,634,304,127,279,47,57,1362900
35,1,3,44,SF,79,39,2115,887,324,749,110,132,3425510
36,1,3,22,SG,62,6,982,363,127,322,71,94,845059
37,1,3,21,SG,76,41,1615,586,218,561,54,63,1500000
38,1,3,24,SF,29,17,615,167,63,138,37,52,1335680
39,1,3,2,PG,32,32,1027,411,140,358,100,112,6300000
40,1,16,2,SF,24,24,769,321,130,251,26,34,414481
40,1,3,7,SF,57,57,1934,992,247,608,92,108,24894863
41,1,3,10,SF,40,5,299,97,30,74,26,28,1599840
42,1,8,6,SG,8,0,82,27,8,21,7,8,99418
42,1,3,6,SG,23,0,634,318,115,249,53,59,320594
43,1,3,0,PG,78,17,1751,566,222,502,83,107,1500000
44,1,3,11,C,73,73,2457,1501,591,1157,317,403,20000000
45,1,3,1,PF,24,4,362,112,44,109,11,23,1140240
46,1,3,33,PF,39,2,426,182,76,133,30,55,947276
47,1,3,41,PF,71,7,917,307,130,291,47,109,981300
48,1,3,14,C,14,4,263,91,33,77,25,30,161622
49,1,3,15,PG,61,33,1318,424,154,350,78,104,1015421
50,1,3,30,PF,73,73,2407,1102,495,963,105,163,11200000
51,1,4,5,SF,70,70,2448,1046,372,873,163,192,12235750
52,1,4,30,SG,43,0,476,242,89,187,5,9,947276
53,1,4,12,PG,12,0,63,22,6,11,10,11,301444
54,1,4,19,SF,48,43,983,286,99,276,34,42,1149720
54,1,15,19,SF,18,9,375,124,46,132,16,22,1201440
55,1,4,50,PF,44,0,343,73,32,71,38,65,1185784
56,1,4,9,SG,21,0,93,18,5,19,5,12,525093
57,1,4,0,PF,57,6,1035,340,124,306,54,65,5543725
58,1,4,25,C,47,18,1096,562,245,505,72,111,13833333
59,1,4,44,C,81,3,1708,606,215,525,108,148,2612500
60,1,4,14,SF,7,7,205,89,33,61,20,29,6331404
61,1,4,3,SG,66,0,1227,580,230,510,64,88,3034356
62,1,15,5,SG,51,37,1489,511,192,419,76,92,5450000
62,1,4,1,SG,28,28,845,250,98,220,23,26,5675000
63,1,4,7,SG,78,13,2048,914,300,728,238,292,2100000
64,1,25,22,SG,21,0,137,60,23,50,8,10,2854940
64,1,4,22,PG,30,0,470,145,51,115,34,37,2732000
65,1,4,15,PG,81,81,2885,1689,568,1331,371,438,12000000
66,1,4,2,PF,81,81,2338,948,228,747,120,144,7000000
67,1,4,40,C,73,60,1774,638,231,437,175,232,4204200
68,1,5,41,C,18,2,103,34,13,40,7,8,845059
69,1,5,0,PG,69,0,1108,491,118,469,49,64,2000000
70,1,5,21,SG,67,67,2474,1399,470,1035,395,475,15260000
71,1,5,34,SF,31,30,703,222,77,188,29,37,4500000
72,1,5,6,C,31,3,321,105,40,72,25,35,525090
73,1,5,16,C,72,72,2291,1187,267,995,229,289,7448760
74,1,5,22,PF,73,55,1936,627,263,500,101,146,8500000
75,1,5,3,SF,81,4,1861,764,291,644,72,84,2380440
76,1,5,44,PF,66,38,1646,777,248,609,146,181,5543725
77,1,5,55,SG,59,22,1263,443,187,389,22,35,1015421
78,1,5,13,C,29,2,635,124,51,133,22,45,13400000
79,1,5,5,PF,62,4,1102,436,186,436,48,66,1391160
80,1,5,1,PG,66,66,2097,1080,447,1048,142,179,20093063
81,1,5,20,SF,64,33,1301,338,126,339,30,33,1535880
82,1,17,9,SG,4,0,55,16,4,14,6,7,57726
82,1,6,9,SG,40,3,355,104,32,91,30,48,981348
83,1,6,8,PG,76,14,1867,569,207,511,57,66,1147280
84,1,22,8,PF,44,29,754,229,81,186,19,21,8175476
84,1,6,9,C,26,2,446,196,71,161,11,14,7807579
85,1,6,12,SG,5,0,15,3,1,4,0,0,845059
86,1,6,2,PG,75,75,2730,1628,578,1235,315,365,14746000
87,1,6,23,SF,76,76,2709,1920,737,1416,359,491,22971000
88,1,6,24,SF,74,5,1326,410,143,312,58,87,1499000
89,1,6,30,SF,1,0,42,13,6,14,0,0,8819
90,1,6,1,SF,48,0,463,178,58,142,21,26,1499000
91,1,6,14,C,25,0,95,23,9,17,5,11,1300000
92,1,6,0,PF,77,77,2424,1234,409,977,258,314,19500000
93,1,24,62,PG,7,0,82,37,11,26,12,15,61776
93,1,6,12,PG,15,1,113,62,23,52,9,13,172972
94,1,6,20,C,76,48,1326,475,203,359,68,95,4950000
95,1,6,4,SG,54,5,1316,311,114,305,40,51,9000000
96,1,6,5,SG,77,77,2362,955,353,850,45,71,5000000
97,1,6,13,PF,82,34,2269,643,247,420,149,242,14260870
98,1,6,17,C,31,0,310,138,32,76,16,21,9638553
98,1,10,18,C,22,0,186,58,21,48,13,37,458575
99,1,6,52,PG,41,14,748,338,132,302,38,42,2100000
100,1,7,1,SF,55,9,647,208,71,175,44,55,1449000
101,1,7,5,PG,74,16,1667,808,317,711,74,96,4000000
102,1,7,21,SF,30,2,251,71,26,48,15,21,1100602
103,1,7,2,PG,80,31,2192,763,277,682,146,176,3950313
104,1,7,34,PG,64,0,1280,487,167,374,101,140,4053000
105,1,24,23,SG,22,2,287,109,42,90,12,15,981000
105,1,7,12,SG,21,1,193,69,29,70,8,9,1312920
106,1,7,23,SF,78,78,2644,977,331,854,126,146,16400000
107,1,7,11,C,34,2,370,172,77,134,18,36,1270964
108,1,7,50,C,34,6,297,125,49,78,27,46,525093
109,1,7,41,PF,75,75,2364,1372,498,1112,250,280,8333334
110,1,7,27,C,76,69,2004,650,219,470,212,276,5200000
111,1,7,25,SF,61,51,1799,837,320,651,93,136,15361500
112,1,7,7,PF,69,2,922,399,146,296,195,142,845059
113,1,7,3,PF,62,4,665,319,125,327,22,24,1499187
