1,100,1,6,9,106,101,6
1,100,2,6,9,107,90,6
1,100,3,6,9,101,91,9
1,100,4,6,9,100,98,9
1,101,1,12,28,100,90,28
1,101,2,28,12,98,87,28
1,101,3,28,12,101,85,12
1,101,4,12,28,100,83,12
1,101,5,28,12,202,99,28
1,101,6,12,28,101,83,12
1,101,7,28,12,89,84,28
1,102,1,16,4,123,91,16
1,102,2,16,4,115,103,16
1,102,3,4,16,96,80,4
1,102,4,4,16,89,85,4
1,102,5,4,16,90,88,16
1,102,6,16,4,97,90,4
1,102,7,16,4,106,73,16
1,103,1,1,2,102,101,1
1,103,2,1,2,89,72,1
1,103,3,2,1,111,103,2
1,103,4,2,1,104,95,2
1,103,5,1,2,110,83,1
1,103,6,1,2,104,92,2
1,110,1,6,1,104,93,6
1,110,2,6,1,123,98,6
1,110,3,6,1,121,108,1
1,110,4,6,1,100,99,1
1,111,1,16,28,102,96,28
1,111,2,28,16,96,92,28
1,111,3,28,16,95,91,16
1,111,4,16,28,94,87,16
1,111,5,28,16,99,91,28
1,111,6,16,28,103,91,16
1,111,7,28,16,116,89,28
1,120,1,6,28,115,84,6
1,120,2,6,28,108,89,6
1,120,3,28,6,99,84,28
1,120,4,28,6,105,99,8
1,120,5,6,28,116,78,6
1,120,6,6,28,113,87,28
1,200,1,10,11,104,78,10
1,200,2,10,11,115,106,10
1,200,3,11,10,97,96,11
1,200,4,10,11,121,94,11
1,200,5,10,11,114,81,10
1,201,1,27,15,106,74,27
1,201,2,27,15,94,68,27
1,201,3,27,15,96,87,15
1,201,4,27,15,116,95,15
1,202,1,21,7,108,70,21
1,202,2,7,21,85,84,21
1,202,3,21,7,131,102,7
1,202,4,21,7,119,108,7
1,202,5,21,7,118,104,21
1,203,1,13,25,115,95,13
1,203,2,13,25,102,81,13
1,203,3,25,13,96,88,25
1,203,4,25,13,98,84,25
1,203,5,25,13,108,98,13
1,203,6,25,13,106,103,25
1,210,1,10,25,118,106,10
1,210,2,10,25,110,99,10
1,210,3,25,10,120,108,25
1,210,4,10,25,132,125,25
1,210,5,10,25,125,121,10
1,211,1,27,21,124,92,27
1,211,2,21,27,98,97,27
1,211,3,27,21,100,97,21
1,211,4,21,27,111,97,21
1,211,5,21,27,95,91,27
1,211,6,21,27,113,99,21
1,220,1,21,10,108,102,10
1,220,2,10,21,118,91,10
1,220,3,21,10,133,105,21
1,220,4,21,10,118,94,21
1,220,5,10,21,120,111,10
1,220,6,10,21,108,101,21
1,220,7,10,21,96,88,10
1,300,1,10,6,104,89,10
1,300,2,10,6,110,77,10
1,300,3,6,10,120,90,6
1,300,4,10,6,108,97,6
1,300,5,6,10,112,97,10
1,300,6,6,10,115,101,6
1,300,7,6,10,93,89,10
